KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,kepid,kepmag,dutycycle,dataspan,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,cdppslplong,cdppslpshrt,r,logr
10252667,5907,4.47,1.0789,10.318,0.325,   ,879.59,0.367,0.2537,0,280.97641,47.32292,10252667,13.713,0.8734,1458.931,126.522,110.834,102.696,94.577,89.659,81.16899999999998,77.97199999999998,72.66599999999998,68.056,64.552,62.653,60.672,60.112,58.765,-0.21493,-0.6716499999999999,879.59,2.9442802832518424
10252672,5535,4.45,0.9741,10.176,0.044,   ,8726.72,1.328,0.7216,0,280.97879,47.32551,10252672,11.987,0.8735,1458.931,63.528,61.03,61.502,60.565,60.486,59.494,59.32,60.207,62.191,63.931,65.962,68.486,69.389,74.08499999999998,0.24915,-0.07562,8726.72,3.9408510416931177
10252866,5057,4.22,0.849,9.47,0.048,   ,9111.4,1.394,0.7329,0,281.09845,47.32739,10252866,12.863,0.8732999999999999,1458.931,88.202,83.179,82.247,80.16599999999998,79.305,76.727,75.662,74.527,74.229,74.337,75.02599999999998,77.327,78.11199999999998,82.65399999999998,0.15076,-0.21148,9111.4,3.9595851130389272
10252901,5430,4.55,0.9461,11.164,0.075,   ,3791.09,0.895,0.5276,0,281.13043,47.3273,10252901,13.764,0.8735,1458.931,133.088,120.512,114.964,108.823,105.073,98.381,95.766,92.99,90.045,88.07899999999998,87.652,88.28499999999998,88.405,90.221,0.00237,-0.47781,3791.09,3.5787640946452193
10252955,5124,4.65,0.8663,27.739,5.034,   ,2769.11,0.375,0.2608,0,281.15994,47.36404,10252955,14.904,0.8736,1458.931,252.309,225.315,211.77,196.713,186.68,169.964,163.179,153.223,143.631,136.107,130.534,126.405,125.609,122.184,-0.23818,-0.63175,2769.11,3.4423402079825345
10253017,5618,4.54,0.9967,23.802,0.535,   ,4196.29,0.453,0.3113,0,281.20313,47.34556,10253017,15.582,0.8741999999999999,1420.672,377.934,334.111,311.945,289.077,274.625,250.987,241.465,226.91,211.306,199.869,191.508,185.642,184.26,177.633,-0.2514299999999999,-0.6321499999999999,4196.29,3.6228654940705414
10253028,6235,4.34,1.1823,6.828,0.834,   ,1030.62,0.402,0.3217,0,281.20929,47.38495,10253028,12.002,0.8736,1458.931,56.266,51.89,50.471,48.564,47.789,46.559,46.075,45.918,46.58,47.46,48.744,50.21,50.77,53.674,0.20196,-0.2775099999999999,1030.62,3.01309856603633
10253304,5392,4.62,0.9361,5.067,0.212,   ,31389.12,1.409,0.7203,0,281.40958,47.30759,10253304,13.96,0.8628,1458.931,180.493,171.971,172.313,169.838,171.2,172.413,173.794,179.286,190.169,200.748,213.514,226.512,230.97,249.672,0.39844,-0.00046,31389.12,4.496779140341608
10253457,5223,4.62,0.892,25.576,0.14,   ,3099.68,0.591,0.4243,0,281.51611,47.39047,10253457,15.334,0.8735,1458.931,331.0,291.927,273.173,253.244,240.465,218.608,209.706,196.512,181.717,170.121,161.821,155.255,153.469,144.311,-0.3289099999999999,-0.63619,3099.68,3.4913168611221543
10253519,5048,4.6,0.8467,31.008,5.246,   ,5005.96,0.716,0.4282,0,281.55276,47.33925,10253519,15.559,0.8736,1458.931,392.688,347.792,325.165,300.103,284.203,257.642,246.618,230.833,213.944,202.551,193.517,186.405,184.523,175.028,-0.2887899999999999,-0.66127,5005.96,3.699487375066715
